Extracted String
2010/11:153
2010/11:70
2010/11:1
2010/11:70
2011/12:1
2011/12:77
2012/13:122
2012/13:25
2012/13:85
2013/14:174
2013/14:187
2013/14:1
2013/14:21
2013/14:74
2013/14:85
2014/15:112
2014/15:1
2015/16:117
2015/16:33
2016/17:13
2016/17:148
2015/16:98
2016/17:73
2017/18:228
2017/18:237
2017/18:251
2018/19:153
2020/21:12
2020/21:94
2021/22:124
2021/22:153
2021/22:1
2021/22:1
2021/22:24
2021/22:48
2022/23:20
2022/23:58
2022/23:59
2023/24:105
2023/24:1
2023/24:1
2023/24:58
2023/24:59
2024/25:1
2024/25:48
2024/25:72
